Date,STMT,PC,ME
1994-02-04,0.07442753816752398,NA,0.07930273650016263
1994-03-22,-0.025825258476128488,NA,-0.026771342350403498
1994-04-18,0.05919387599292213,NA,0.0635324889408165
1994-05-17,-0.019031747112877737,NA,-0.01913728397275329
1994-07-06,0.006769587496179563,NA,0.008670052443904019
1994-08-16,0.025965866825298764,NA,0.028727798952930806
1994-09-27,-0.010464116667295454,NA,-0.010100781064217423
1994-11-15,0.03136980318471266,NA,0.03435659679164673
1994-12-20,-0.0177728645255933,NA,-0.0182890127474521
1995-02-01,0.05001899426013685,NA,0.054363935844208525
1995-03-28,0.015890102084930198,NA,0.017911577381995655
1995-05-23,0.001198396862184839,NA,0.0023851320493336295
1995-07-06,-0.13452911552056446,NA,-0.14175546310110448
1995-08-22,0.030807663804778763,NA,0.03373296784975247
1995-09-26,0.04168799060609504,NA,0.04551199382311344
1995-11-15,0.014551559363515598,NA,0.01621899424664277
1995-12-19,-0.030362796840114836,NA,-0.03142355944416364
1996-01-31,-0.013715850012628488,NA,-0.013333901974439137
1996-03-26,0.017303612214753766,NA,0.019286139399171492
1996-05-21,0.016089064440341454,NA,0.01811537802705537
1996-07-03,-0.007461575334242426,NA,-0.006827528611491001
1996-08-20,0.00597637985860634,NA,0.007396636421767408
1996-09-24,-0.061636781841571356,NA,-0.06471956163184014
1996-11-13,-0.002019034525390618,NA,-9.088145856894806e-4
1996-12-17,0.009666526661805327,NA,0.011077388229530697
1997-02-05,0.007333428183707244,NA,0.00867853199265951
1997-03-25,0.039355890673488596,NA,0.04286982797069398
1997-05-20,-0.03412259835797089,NA,-0.03541898798249566
1997-07-02,0.0043288097349413876,NA,0.005765014148957058
1997-08-19,0.01025642484244481,NA,0.01194147910464113
1997-09-30,0.0027623285176483566,NA,0.003993776428050795
1997-11-12,-0.017374362951226137,NA,-0.017367457819342617
1997-12-16,0.009370540921286946,NA,0.010935755501614252
1998-02-04,0.018684862485998,NA,0.02094029381121885
1998-03-31,0.0029104188782698914,NA,0.004082507724606158
1998-05-19,-0.005875864583014959,NA,-0.00517802238674837
1998-07-01,-0.01708008038626384,NA,-0.01707030860747595
1998-08-18,0.015121411380166995,NA,0.017095884155818575
1998-09-29,0.027593024352305408,NA,0.030754849209347335
1998-10-15,-0.11229247023725894,NA,-0.11834457387922424
1998-11-17,0.008782015519866118,NA,0.010755150156648255
1998-12-22,0.002601771407222028,NA,0.0038681103965415853
1999-02-03,0.010228907147105362,NA,0.012040721458422327
1999-03-30,-0.00932520112534104,NA,-0.008825450710134153
1999-05-18,0.0697687615283003,NA,0.07469706779088099
1999-06-30,-0.05527903177901686,NA,-0.05755482951446048
1999-08-24,0.007594159331784027,NA,0.009344792235800058
1999-10-05,0.03701562629366716,NA,0.04005398834794856
1999-11-16,0.0662025322516916,NA,0.07220255660261479
1999-12-21,0.025324705663966218,NA,0.02779358610176685
2000-02-02,0.002968875009012344,NA,0.004193719256133618
2000-03-21,0.00687865151242376,NA,0.008543570173939762
2000-05-16,0.03953446862084389,NA,0.04328024839549229
2000-06-28,-0.015744079002636874,NA,-0.015515735037595336
2000-08-22,0.015188500745089659,NA,0.017149975532558644
2000-10-03,0.02703794429848464,NA,0.029618092750270258
2000-11-15,0.008707727629052768,NA,0.010381342059763118
2000-12-19,0.01781121858841176,NA,0.0202258222422281
2001-01-03,-0.10829489221091022,NA,-0.11486049643050196
2001-01-31,0.009902018536813028,NA,0.012340227765507862
2001-03-20,-0.03254398470163557,NA,-0.0335433913488673
2001-04-18,-0.26443726166103493,NA,-0.2819021623102163
2001-05-15,-0.08303044368948503,NA,-0.08722462556677203
2001-06-27,0.053550519778625974,NA,0.058080843396604236
2001-08-21,-0.0351414913650395,NA,-0.035918268512742435
2001-09-17,-0.04311363247143486,NA,-0.04512919488892432
2001-10-02,-0.03218911176378581,NA,-0.0331954425345359
2001-11-06,-0.09592695186360821,NA,-0.1008915650271261
2001-12-11,-0.034867515612290276,NA,-0.03567390427254478
2002-01-30,0.021650347860240064,NA,0.024128689980106095
2002-03-19,-0.037396453495688854,NA,-0.038453180230016544
2002-05-07,-0.013856029250814004,NA,-0.013261545362009743
2002-06-26,0.010187602799154084,NA,0.012006992319752947
2002-08-13,-0.05082442778768206,NA,-0.051810244729505975
2002-09-24,-2.9081175024671656e-4,NA,0.0010086963599680629
2002-11-06,-0.057727894715221606,NA,-0.06055852010059232
2002-12-10,0.01778302124665753,NA,0.019803719723843108
2003-01-29,0.031643352956566694,NA,0.03468880720296558
2003-03-18,0.00487254234199346,NA,0.006254803740417712
2003-05-06,-0.04029683289700859,NA,-0.04113445598349425
2003-06-25,0.09009514117772183,NA,0.09696547471482078
2003-08-12,-0.013151958764791338,NA,-0.01237851810865487
2003-09-16,0.005971558443264001,NA,0.007489108196335576
2003-10-28,-0.03911101847250991,NA,-0.03984515999602848
2003-12-09,0.022138782418794967,NA,0.024114229987698972
2004-01-28,0.08339381070129251,NA,0.08855603618815552
2004-03-16,-0.024797511429456888,NA,-0.024700893498617912
2004-05-04,0.00889403276643417,NA,0.01044595744640579
2004-06-30,-0.010248234575671544,NA,-0.009849693425269822
2004-08-10,0.030419191750190713,NA,0.033329329578691794
2004-09-21,-0.002655889888630283,NA,-0.0015565953231746863
2004-11-10,-0.010347780262229222,NA,-0.00968395928980605
2004-12-14,-0.0016196409545244852,NA,-5.535502595461869e-4
2005-02-02,0.0024149323253281744,NA,0.003836720338380754
2005-03-22,0.044655538680595595,NA,0.04811822412526306
2005-05-03,0.01976080245916018,NA,0.021982308452169266
