Date,SVENY01
1994-01-03,3.731411153741
1994-01-04,3.713510128967
1994-01-05,3.705391883306
1994-01-06,3.668817471804
1994-01-07,3.571146626755
1994-01-10,3.555280489852
1994-01-11,3.553729037181
1994-01-12,3.528011188234
1994-01-13,3.571451716989
1994-01-14,3.601683092642
1994-01-18,3.57773165582
1994-01-20,3.521383145401
1994-01-21,3.537065897629
1994-01-24,3.536614735457
1994-01-25,3.553965109631
1994-01-26,3.554117338323
1994-01-27,3.554130555272
1994-01-28,3.52659212621
1994-01-31,3.565709743258
1994-02-01,3.626759641192
1994-02-02,3.65029998177
1994-02-03,3.718764843066
1994-02-04,3.865748937076
1994-02-07,3.884993927632
1994-02-08,3.910157914109
1994-02-09,3.903414136369
1994-02-10,3.921362215224
1994-02-11,3.900780265497
1994-02-14,3.91002890578
1994-02-15,3.89763272637
1994-02-16,3.894486944571
1994-02-17,3.922011474459
1994-02-18,3.953240231598
1994-02-22,3.985732122925
1994-02-23,4.073883865746
1994-02-24,4.108215882692
1994-02-25,4.117733454253
1994-02-28,4.099515718959
1994-03-01,4.216819733566
1994-03-02,4.235408258718
1994-03-03,4.261107960559
1994-03-04,4.340137721138
1994-03-07,4.316670477574
1994-03-08,4.355256741707
1994-03-09,4.374393517358
1994-03-10,4.398890893359
1994-03-11,4.379629069183
1994-03-14,4.411808639189
1994-03-15,4.416592059863
1994-03-16,4.371855408878
1994-03-17,4.36493810426
1994-03-18,4.430075830672
1994-03-21,4.49029968857
1994-03-22,4.443199189145
1994-03-23,4.399663526219
1994-03-24,4.454614230857
1994-03-25,4.454998625049
1994-03-28,4.473825715484
1994-03-29,4.52671134303
1994-03-30,4.514030056533
1994-03-31,4.552171684858
1994-04-04,4.815631689477
1994-04-05,4.768829978334
1994-04-06,4.720190852754
1994-04-07,4.697049575617
1994-04-08,4.736534158105
1994-04-11,4.733744152026
1994-04-12,4.687423063182
1994-04-13,4.726902953277
1994-04-14,4.765861055562
1994-04-15,4.781023885274
1994-04-18,4.937219819085
1994-04-19,4.94743688826
1994-04-20,4.939347638432
1994-04-21,4.891718800127
1994-04-22,4.912552025671
1994-04-25,4.931083800645
1994-04-26,4.923904820438
1994-04-28,5.017221295097
1994-04-29,5.03206434087
1994-05-02,5.070755707206
1994-05-03,5.13785480186
1994-05-04,5.17087098965
1994-05-05,5.173380329643
1994-05-06,5.371433614612
1994-05-09,5.497736346937
1994-05-10,5.430208931464
1994-05-11,5.48325849734
1994-05-12,5.455735360755
1994-05-13,5.415844940604
1994-05-16,5.397072754507
1994-05-17,5.301464147032
1994-05-18,5.214371100746
1994-05-19,5.114075419132
1994-05-20,5.161685513998
1994-05-23,5.284564208252
1994-05-24,5.269337046351
1994-05-25,5.254538250201
1994-05-26,5.222039153161
1994-05-27,5.281192755276
1994-05-31,5.313799028522
1994-06-01,5.305225173517
1994-06-02,5.263331337639
1994-06-03,5.199327532314
1994-06-06,5.117542098264
1994-06-07,5.143115662233
1994-06-08,5.113934430376
1994-06-09,5.130893242885
1994-06-10,5.166095758585
1994-06-13,5.218436841866
1994-06-14,5.131258646892
1994-06-15,5.166973427122
1994-06-16,5.139653189633
1994-06-17,5.176930284358
1994-06-20,5.202465063518
1994-06-21,5.287615762123
1994-06-22,5.25716333452
1994-06-23,5.228259750416
1994-06-24,5.312595921896
1994-06-27,5.320229424874
1994-06-28,5.391956525191
1994-06-29,5.420304794689
1994-06-30,5.479536670084
1994-07-01,5.476145784334
1994-07-05,5.463119353035
1994-07-06,5.450049259233
1994-07-07,5.425014399314
1994-07-11,5.580647372659
1994-07-12,5.540172779661
1994-07-13,5.529832567403
1994-07-14,5.38540856052
1994-07-15,5.373685080891
1994-07-18,5.33528961499
1994-07-19,5.298126976508
1994-07-20,5.3783548497350004
1994-07-21,5.447650043328
1994-07-22,5.472322778694
1994-07-25,5.479242550463
1994-07-26,5.484670325869
1994-07-27,5.520030678687
1994-07-28,5.51931825788
1994-07-29,5.388086488883
1994-08-01,5.381480221516
1994-08-02,5.323065970195
1994-08-03,5.327934016722
1994-08-04,5.328643504101
1994-08-05,5.545707245377
1994-08-08,5.571480347766
1994-08-09,5.598394243138
1994-08-10,5.578463170426
1994-08-11,5.590689425486
1994-08-12,5.599279789956
1994-08-15,5.598344617712
1994-08-16,5.590754752238
1994-08-17,5.530103891312
1994-08-18,5.576916414819
1994-08-19,5.577891303895
1994-08-22,5.589819464206
1994-08-23,5.57412009962
1994-08-24,5.517607559749
1994-08-25,5.543993870657
1994-08-26,5.520290557701
1994-08-29,5.514629190752
1994-08-30,5.493833852594
1994-08-31,5.49561449599
1994-09-01,5.497531580675
1994-09-02,5.499971204733
1994-09-06,5.547685056747
1994-09-07,5.542400250193
1994-09-08,5.536341521064
1994-09-09,5.644714608444
1994-09-12,5.65798268384
1994-09-13,5.645228983693
1994-09-14,5.627386066153
1994-09-15,5.597932909344
1994-09-16,5.704330343211
1994-09-19,5.690679235972
1994-09-20,5.74690199855
1994-09-21,5.784188256713
1994-09-22,5.806288094149
1994-09-23,5.833026213015
1994-09-26,5.848148770576
1994-09-27,5.849580429313
1994-09-28,5.829349260795
1994-09-29,5.904216219321
1994-09-30,5.910917644185
1994-10-03,5.960526045315
1994-10-04,5.993821327775
1994-10-05,6.033516915762
1994-10-06,6.043865690081
1994-10-11,5.965818093335
1994-10-12,5.996670457154
1994-10-13,5.963218199168
1994-10-14,5.920905524299
1994-10-17,5.935524002713
1994-10-18,5.939688898201
1994-10-19,5.99032619922
1994-10-20,6.103403196304
1994-10-21,6.123574781089
